tgt,input,show_inp,ent1,ent2,id
"Cause-Effect(e1,e2)",These chemical ENT_1_START studies ENT_1_END were directed toward ENT_2_START proof ENT_2_END of structure of the indole components of the seeds .,These chemical ENT_1_START studies ENT_1_END were directed toward ENT_2_START proof ENT_2_END of structure of the indole components of the seeds .,studies,proof,3331
"Cause-Effect(e1,e2)","ENT_1_START Fats ENT_1_END from meat and dairy cause heart ENT_2_START disease ENT_2_END , the leading killer of people with diabetes .","ENT_1_START Fats ENT_1_END from meat and dairy cause heart ENT_2_START disease ENT_2_END , the leading killer of people with diabetes .",ENT_1_START Fats,disease,1547
"Cause-Effect(e2,e1)",The yellow ENT_1_START discolouration ENT_1_END has been caused by the damaging acidic ENT_2_START properties ENT_2_END of the low - grade mount used in the original frame .,The yellow ENT_1_START discolouration ENT_1_END has been caused by the damaging acidic ENT_2_START properties ENT_2_END of the low - grade mount used in the original frame .,discolouration,properties,1168
Other,"He mounts the photo on a ENT_1_START material ENT_1_END that contains ENT_2_START acid ENT_2_END , so that the paper absorbs the acid which in turn attacks the photo itself .","He mounts the photo on a ENT_1_START material ENT_1_END that contains ENT_2_START acid ENT_2_END , so that the paper absorbs the acid which in turn attacks the photo itself .",material,acid,7722
"Component-Whole(e1,e2)",The ENT_1_START bail ENT_1_END of the ENT_2_START pendant ENT_2_END is created in dimensional lattice weave .,The ENT_1_START bail ENT_1_END of the ENT_2_START pendant ENT_2_END is created in dimensional lattice weave .,bail,pendant,5079
"Entity-Origin(e2,e1)","The ENT_1_START land ENT_1_END surrounding the lakes is extensively farmed for ENT_2_START wheat ENT_2_END , while elsewhere in the National Park the steppe is heavily grazed by domestic livestock .","The ENT_1_START land ENT_1_END surrounding the lakes is extensively farmed for ENT_2_START wheat ENT_2_END , while elsewhere in the National Park the steppe is heavily grazed by domestic livestock .",land,wheat,7233
"Cause-Effect(e2,e1)","These centres , along with appropriate educational and psychosocial interventions , helped children overcome the ENT_1_START trauma ENT_1_END and stress caused by the ENT_2_START earthquake ENT_2_END .","These centres , along with appropriate educational and psychosocial interventions , helped children overcome the ENT_1_START trauma ENT_1_END and stress caused by the ENT_2_START earthquake ENT_2_END .",trauma,earthquake,1946
"Entity-Origin(e2,e1)","In the Eastern Orthodox Church , for example , sacramental wine used in the Divine Liturgy must usually be pure ENT_1_START red grape ENT_1_END ENT_2_START wine ENT_2_END , often sweet .","In the Eastern Orthodox Church , for example , sacramental wine used in the Divine Liturgy must usually be pure ENT_1_START red grape ENT_1_END ENT_2_START wine ENT_2_END , often sweet .",red grape,wine,1085
"Message-Topic(e1,e2)",The Chilean Declaration of Independence is a ENT_1_START document ENT_1_END declaring the ENT_2_START independence ENT_2_END of Chile from the Spanish Empire .,The Chilean Declaration of Independence is a ENT_1_START document ENT_1_END declaring the ENT_2_START independence ENT_2_END of Chile from the Spanish Empire .,document,independence,1148
"Message-Topic(e1,e2)",People walk past a ENT_1_START poster ENT_1_END advertising a luxury ENT_2_START fashion brand ENT_2_END on a main street in Shanghai .,People walk past a ENT_1_START poster ENT_1_END advertising a luxury ENT_2_START fashion brand ENT_2_END on a main street in Shanghai .,poster,fashion brand,6296
Other,"The citizens remained in their houses , and only vagabonds , the ENT_1_START scum ENT_1_END of various ENT_2_START nationalities ENT_2_END , and spies were about ; women were not to be seen , or only such as belonged to the dregs of society .","The citizens remained in their houses , and only vagabonds , the ENT_1_START scum ENT_1_END of various ENT_2_START nationalities ENT_2_END , and spies were about ; women were not to be seen , or only such as belonged to the dregs of society .",scum,nationalities,4317
Other,5 lbs of ENT_1_START clay ENT_1_END made into a ENT_2_START canister ENT_2_END hold a 5 lb bag of flour .,5 lbs of ENT_1_START clay ENT_1_END made into a ENT_2_START canister ENT_2_END hold a 5 lb bag of flour .,clay,canister,5852
Other,"There are ENT_1_START charts ENT_1_END for all ENT_2_START land masses ENT_2_END on Earth , and long - distance charts for trans - oceanic travel .","There are ENT_1_START charts ENT_1_END for all ENT_2_START land masses ENT_2_END on Earth , and long - distance charts for trans - oceanic travel .",charts,land masses,6240
Other,The ENT_1_START protesters ENT_1_END carefully chose a private ENT_2_START road ENT_2_END in order not to cause inconvenience to the public .,The ENT_1_START protesters ENT_1_END carefully chose a private ENT_2_START road ENT_2_END in order not to cause inconvenience to the public .,protesters,road,1022
Other,ENT_1_START Climate change ENT_1_END is the topic of the ENT_2_START day ENT_2_END .,ENT_1_START Climate change ENT_1_END is the topic of the ENT_2_START day ENT_2_END .,ENT_1_START Climate change,day,6914
"Product-Producer(e2,e1)",Other ENT_1_START companies ENT_1_END compete with us by inventing their own ENT_2_START technologies ENT_2_END .,Other ENT_1_START companies ENT_1_END compete with us by inventing their own ENT_2_START technologies ENT_2_END .,companies,technologies,4972
"Component-Whole(e2,e1)","A sailing ENT_1_START boat ENT_1_END has the large ENT_2_START mainsail ENT_2_END , a smaller foresail and perhaps a large balloon - like spinnaker at the very front .","A sailing ENT_1_START boat ENT_1_END has the large ENT_2_START mainsail ENT_2_END , a smaller foresail and perhaps a large balloon - like spinnaker at the very front .",boat,mainsail,3305
"Instrument-Agency(e2,e1)",The ENT_1_START diener ENT_1_END takes a large ENT_2_START scalpel ENT_2_END and makes the incision in the trunk .,The ENT_1_START diener ENT_1_END takes a large ENT_2_START scalpel ENT_2_END and makes the incision in the trunk .,diener,scalpel,7725
Other,The ENT_1_START infant ENT_1_END was born in a ENT_2_START condition ENT_2_END of shock and died in ten minutes .,The ENT_1_START infant ENT_1_END was born in a ENT_2_START condition ENT_2_END of shock and died in ten minutes .,infant,condition,2086
"Content-Container(e1,e2)",His ENT_1_START shoes ENT_1_END were in a ENT_2_START box ENT_2_END .,His ENT_1_START shoes ENT_1_END were in a ENT_2_START box ENT_2_END .,shoes,box,798
"Member-Collection(e2,e1)","Throughout her career she has worked extensively with the California Department of Education and the Commission on Teacher Credentialing where she has been a contributing ENT_1_START panel ENT_1_END ENT_2_START member ENT_2_END on the writing of the California Subject Examination for Teachers ( CSET ) , the California Music Standards , and the CalTPA , the California Teacher Preparation Assessment , as well as an evaluator for the Single Subject Music Preparation Submission Documents .","Throughout her career she has worked extensively with the California Department of Education and the Commission on Teacher Credentialing where she has been a contributing ENT_1_START panel ENT_1_END ENT_2_START member ENT_2_END on the writing of the California Subject Examination for Teachers ( CSET ) , the California Music Standards , and the CalTPA , the California Teacher Preparation Assessment , as well as an evaluator for the Single Subject Music Preparation Submission Documents .",panel,member,1837
Other,ProVention has supported the development of a series of IFRC studies on rebuilding and ENT_1_START reconstruction ENT_1_END after the ENT_2_START tsunami ENT_2_END to identify lessons learned in promoting and strengthening community roles in the rebuilding process .,ProVention has supported the development of a series of IFRC studies on rebuilding and ENT_1_START reconstruction ENT_1_END after the ENT_2_START tsunami ENT_2_END to identify lessons learned in promoting and strengthening community roles in the rebuilding process .,reconstruction,tsunami,5375
"Cause-Effect(e2,e1)",ENT_1_START Infection ENT_1_END starts with manual ENT_2_START execution ENT_2_END of the binary .,ENT_1_START Infection ENT_1_END starts with manual ENT_2_START execution ENT_2_END of the binary .,ENT_1_START Infection,execution,7749
"Instrument-Agency(e1,e2)",A ENT_1_START telescope ENT_1_END assists the ENT_2_START eye ENT_2_END chiefly in two ways .,A ENT_1_START telescope ENT_1_END assists the ENT_2_START eye ENT_2_END chiefly in two ways .,telescope,eye,238
"Product-Producer(e2,e1)","However , his ENT_1_START company ENT_1_END , Gordon Ramsay Holdings , issued a ENT_2_START statement ENT_2_END that appeared remarkably graceful at first glance .","However , his ENT_1_START company ENT_1_END , Gordon Ramsay Holdings , issued a ENT_2_START statement ENT_2_END that appeared remarkably graceful at first glance .",company,statement,6209
"Entity-Origin(e2,e1)",Natural rubber latex or synthetic ENT_1_START rubber ENT_1_END is the main ingredient used for making rubber latex dipped ENT_2_START products ENT_2_END .,Natural rubber latex or synthetic ENT_1_START rubber ENT_1_END is the main ingredient used for making rubber latex dipped ENT_2_START products ENT_2_END .,rubber,products,3630
"Product-Producer(e2,e1)",The student ENT_1_START committee ENT_1_END developed the following ENT_2_START guidelines ENT_2_END .,The student ENT_1_START committee ENT_1_END developed the following ENT_2_START guidelines ENT_2_END .,committee,guidelines,7922
"Cause-Effect(e1,e2)","Dr. Marshall is the discoverer of Helicobacter ( H. pylori ) , the ENT_1_START germ ENT_1_END that causes peptic ENT_2_START ulcer ENT_2_END .","Dr. Marshall is the discoverer of Helicobacter ( H. pylori ) , the ENT_1_START germ ENT_1_END that causes peptic ENT_2_START ulcer ENT_2_END .",germ,ulcer,4527
"Component-Whole(e2,e1)","He cleaned his ENT_1_START piano ENT_1_END ENT_2_START keys ENT_2_END , using the proposed tips , but also remembered : playing with clean hands can prevent future headache .","He cleaned his ENT_1_START piano ENT_1_END ENT_2_START keys ENT_2_END , using the proposed tips , but also remembered : playing with clean hands can prevent future headache .",piano,keys,819
"Entity-Origin(e1,e2)",The ENT_1_START demonstrators ENT_1_END descended from the ENT_2_START vehicles ENT_2_END and marched five kilometers .,The ENT_1_START demonstrators ENT_1_END descended from the ENT_2_START vehicles ENT_2_END and marched five kilometers .,demonstrators,vehicles,5873
"Cause-Effect(e2,e1)","Vietnam 's response on the ENT_1_START toll ENT_1_END caused by the ENT_2_START earthquake ENT_2_END in Sichuan , China .","Vietnam 's response on the ENT_1_START toll ENT_1_END caused by the ENT_2_START earthquake ENT_2_END in Sichuan , China .",toll,earthquake,1094
"Product-Producer(e2,e1)",In experiments so far the ENT_1_START researchers ENT_1_END have produced spider ENT_2_START silk ENT_2_END by inserting the gene into the genome of cows and hamsters .,In experiments so far the ENT_1_START researchers ENT_1_END have produced spider ENT_2_START silk ENT_2_END by inserting the gene into the genome of cows and hamsters .,researchers,silk,5983
"Component-Whole(e1,e2)",The picture below shows a view chapel and west range of the inner ENT_1_START courtyard ENT_1_END of the ENT_2_START castle ENT_2_END .,The picture below shows a view chapel and west range of the inner ENT_1_START courtyard ENT_1_END of the ENT_2_START castle ENT_2_END .,courtyard,castle,119
"Member-Collection(e2,e1)",Phil Mickelson eased through a ENT_1_START crush ENT_1_END of ENT_2_START spectators ENT_2_END and into a courtesy van telling them he would sign autographs in front of the Sheshan International clubhouse after he had a chance to eat .,Phil Mickelson eased through a ENT_1_START crush ENT_1_END of ENT_2_START spectators ENT_2_END and into a courtesy van telling them he would sign autographs in front of the Sheshan International clubhouse after he had a chance to eat .,crush,spectators,3020
"Content-Container(e1,e2)","A small supply of ENT_1_START butter ENT_1_END was in a ENT_2_START jar ENT_2_END that stood on the hearth , and the eggs were kept in a basket that hung on a peg nearby .","A small supply of ENT_1_START butter ENT_1_END was in a ENT_2_START jar ENT_2_END that stood on the hearth , and the eggs were kept in a basket that hung on a peg nearby .",butter,jar,2191
Other,Many ENT_1_START students ENT_1_END deviate from the ideal ENT_2_START curricula ENT_2_END presented in a later section of this bulletin .,Many ENT_1_START students ENT_1_END deviate from the ideal ENT_2_START curricula ENT_2_END presented in a later section of this bulletin .,students,curricula,7931
"Entity-Destination(e1,e2)",Twenty physicists sent ENT_1_START letters ENT_1_END to the ENT_2_START government ENT_2_END as an act of protest .,Twenty physicists sent ENT_1_START letters ENT_1_END to the ENT_2_START government ENT_2_END as an act of protest .,letters,government,5400
"Entity-Origin(e1,e2)","The ENT_1_START difficulties ENT_1_END in developing Vista stemmed from its monolithic ENT_2_START structure ENT_2_END and the need for ' backwards compatibility ' , i.e. ensuring that software used by customers on older versions of Windows will work under Vista .","The ENT_1_START difficulties ENT_1_END in developing Vista stemmed from its monolithic ENT_2_START structure ENT_2_END and the need for ' backwards compatibility ' , i.e. ensuring that software used by customers on older versions of Windows will work under Vista .",difficulties,structure,6653
"Component-Whole(e2,e1)",The ENT_1_START subject ENT_1_END first moves a ENT_2_START foot ENT_2_END in order to take a step .,The ENT_1_START subject ENT_1_END first moves a ENT_2_START foot ENT_2_END in order to take a step .,subject,foot,3286
"Entity-Origin(e1,e2)",Many other ENT_1_START dwarves ENT_1_END also hailed from this infamous ENT_2_START clan ENT_2_END .,Many other ENT_1_START dwarves ENT_1_END also hailed from this infamous ENT_2_START clan ENT_2_END .,dwarves,clan,131
Other,It is also when a ENT_1_START parent ENT_1_END manipulates a ENT_2_START child ENT_2_END .,It is also when a ENT_1_START parent ENT_1_END manipulates a ENT_2_START child ENT_2_END .,parent,child,5701
"Message-Topic(e1,e2)",A witness statement is a ENT_1_START statement ENT_1_END summarising the oral ENT_2_START evidence ENT_2_END that a witness will give at trial .,A witness statement is a ENT_1_START statement ENT_1_END summarising the oral ENT_2_START evidence ENT_2_END that a witness will give at trial .,statement,evidence,2663
"Content-Container(e1,e2)","The ENT_1_START cup ENT_1_END was inside a 9 ft ENT_2_START oak coffin ENT_2_END , carved from a single tree trunk .","The ENT_1_START cup ENT_1_END was inside a 9 ft ENT_2_START oak coffin ENT_2_END , carved from a single tree trunk .",cup,oak coffin,4653
"Cause-Effect(e1,e2)",The low oil ENT_1_START prices ENT_1_END caused the ENT_2_START collapse ENT_2_END of the wall and the Russian empire .,The low oil ENT_1_START prices ENT_1_END caused the ENT_2_START collapse ENT_2_END of the wall and the Russian empire .,prices,collapse,912
"Entity-Origin(e1,e2)","Although the ENT_1_START custom ENT_1_END originated in an all male ENT_2_START military ENT_2_END , it is gender neutral .","Although the ENT_1_START custom ENT_1_END originated in an all male ENT_2_START military ENT_2_END , it is gender neutral .",custom,military,1040
"Member-Collection(e2,e1)",It was a total ENT_1_START canaille ENT_1_END of ENT_2_START letters ENT_2_END pencils and papers and things that had been placed once on my table and to be removed and tucked away elsewhere the next day .,It was a total ENT_1_START canaille ENT_1_END of ENT_2_START letters ENT_2_END pencils and papers and things that had been placed once on my table and to be removed and tucked away elsewhere the next day .,canaille,letters,3038
Other,He followed a specific procedure for obtaining the ENT_1_START engineer ENT_1_END 's ENT_2_START permit ENT_2_END in Quebec and met certain requirements to receive an engineer 's permit .,He followed a specific procedure for obtaining the ENT_1_START engineer ENT_1_END 's ENT_2_START permit ENT_2_END in Quebec and met certain requirements to receive an engineer 's permit .,engineer,permit,1211
"Product-Producer(e2,e1)","Based in Cambridge , New Zealand , the company 's ENT_1_START bees ENT_1_END produce manuka honey , rewarewa honey , bee pollen and ENT_2_START propolis ENT_2_END .","Based in Cambridge , New Zealand , the company 's ENT_1_START bees ENT_1_END produce manuka honey , rewarewa honey , bee pollen and ENT_2_START propolis ENT_2_END .",bees,propolis,3589
"Component-Whole(e1,e2)","As you see , it very easily pulls away and the ENT_1_START strings ENT_1_END of the spaghetti ENT_2_START squash ENT_2_END come out relatively easy here .","As you see , it very easily pulls away and the ENT_1_START strings ENT_1_END of the spaghetti ENT_2_START squash ENT_2_END come out relatively easy here .",strings,squash,2135
"Content-Container(e2,e1)",The Seville side had just fallen 2 - 1 behind at home to fellow relegation strugglers Athletic Bilbao when a ENT_1_START bottle ENT_1_END full of ENT_2_START liquid ENT_2_END flew out of the stands and struck visiting keeper Armando Ribeiro just below the right eye .,The Seville side had just fallen 2 - 1 behind at home to fellow relegation strugglers Athletic Bilbao when a ENT_1_START bottle ENT_1_END full of ENT_2_START liquid ENT_2_END flew out of the stands and struck visiting keeper Armando Ribeiro just below the right eye .,bottle,liquid,1466
Other,The ENT_1_START tests ENT_1_END are generated randomly from a ENT_2_START bank ENT_2_END of questions developed for each module .,The ENT_1_START tests ENT_1_END are generated randomly from a ENT_2_START bank ENT_2_END of questions developed for each module .,tests,bank,7208
"Cause-Effect(e2,e1)",Videotape is a fragile medium subject to damage and ENT_1_START deterioration ENT_1_END from ENT_2_START exposure ENT_2_END to poor environmental conditions and inadequate handling practices .,Videotape is a fragile medium subject to damage and ENT_1_START deterioration ENT_1_END from ENT_2_START exposure ENT_2_END to poor environmental conditions and inadequate handling practices .,deterioration,exposure,7158
"Content-Container(e1,e2)",The ENT_1_START letter ENT_1_END was in a ENT_2_START chest ENT_2_END downstairs in the Kitchen area .,The ENT_1_START letter ENT_1_END was in a ENT_2_START chest ENT_2_END downstairs in the Kitchen area .,letter,chest,7052
Other,"After massive ENT_1_START companies ENT_1_END were bailed out of the ENT_2_START recession ENT_2_END earlier this year , an advantage to cardholders started to be there .","After massive ENT_1_START companies ENT_1_END were bailed out of the ENT_2_START recession ENT_2_END earlier this year , an advantage to cardholders started to be there .",companies,recession,4960
"Entity-Origin(e1,e2)","Much Indian ENT_1_START whisky ENT_1_END is distilled from fermented ENT_2_START molasses ENT_2_END , and as such would be considered a sort of rum outside of the Indian subcontinent","Much Indian ENT_1_START whisky ENT_1_END is distilled from fermented ENT_2_START molasses ENT_2_END , and as such would be considered a sort of rum outside of the Indian subcontinent",whisky,molasses,4748
Other,This feared ENT_1_START ruler ENT_1_END founded the largest land ENT_2_START empire ENT_2_END in history .,This feared ENT_1_START ruler ENT_1_END founded the largest land ENT_2_START empire ENT_2_END in history .,ruler,empire,1146
"Entity-Destination(e1,e2)",These ENT_1_START cells ENT_1_END have been injected into the vitreous ENT_2_START cavity ENT_2_END .,These ENT_1_START cells ENT_1_END have been injected into the vitreous ENT_2_START cavity ENT_2_END .,cells,cavity,794
"Cause-Effect(e1,e2)","Yet on the whole , given the constraints of sticking so closely to the original book , the ENT_1_START developer ENT_1_END has crafted a thoroughly pleasing puzzle ENT_2_START adventure ENT_2_END .","Yet on the whole , given the constraints of sticking so closely to the original book , the ENT_1_START developer ENT_1_END has crafted a thoroughly pleasing puzzle ENT_2_START adventure ENT_2_END .",developer,adventure,4980
"Component-Whole(e1,e2)",The backside of the ENT_1_START haft ENT_1_END of the Gebel el Arak ENT_2_START knife ENT_2_END is decorated with the images of a number of of a number of animals presided over by an old man in Mesopotamian dress .,The backside of the ENT_1_START haft ENT_1_END of the Gebel el Arak ENT_2_START knife ENT_2_END is decorated with the images of a number of of a number of animals presided over by an old man in Mesopotamian dress .,haft,knife,3513
"Entity-Destination(e1,e2)",The ENT_1_START corpses ENT_1_END were then placed in cotton cloth ENT_2_START wrappings ENT_2_END and put inside of a wooden case that was put inside of another case that was decorated with details of their life and a mask of their face .,The ENT_1_START corpses ENT_1_END were then placed in cotton cloth ENT_2_START wrappings ENT_2_END and put inside of a wooden case that was put inside of another case that was decorated with details of their life and a mask of their face .,corpses,wrappings,1750
"Content-Container(e2,e1)","The contents of the ENT_1_START boxes ENT_1_END included ENT_2_START phone cards ENT_2_END , disposable cameras and razors , travel - size toiletries , snack food , and lots of candy .","The contents of the ENT_1_START boxes ENT_1_END included ENT_2_START phone cards ENT_2_END , disposable cameras and razors , travel - size toiletries , snack food , and lots of candy .",boxes,phone cards,7334
"Component-Whole(e2,e1)","This ENT_1_START car ENT_1_END even has the original ENT_2_START casette player ENT_2_END and cd changer , which is fully functional .","This ENT_1_START car ENT_1_END even has the original ENT_2_START casette player ENT_2_END and cd changer , which is fully functional .",car,casette player,5788
"Component-Whole(e2,e1)","The ENT_1_START castle ENT_1_END has two big concentric ENT_2_START towers ENT_2_END , corresponding to a three - story building with two smaller towers at its exterior angles .","The ENT_1_START castle ENT_1_END has two big concentric ENT_2_START towers ENT_2_END , corresponding to a three - story building with two smaller towers at its exterior angles .",castle,towers,3809
"Entity-Origin(e1,e2)",The special ENT_1_START ingredient ENT_1_END in the lotion comes from a ENT_2_START plant ENT_2_END .,The special ENT_1_START ingredient ENT_1_END in the lotion comes from a ENT_2_START plant ENT_2_END .,ingredient,plant,7885
"Component-Whole(e2,e1)",The pan - and - scan area ( lighter shaded ) is what is shown when your ENT_1_START television ENT_1_END ENT_2_START screen ENT_2_END is full .,The pan - and - scan area ( lighter shaded ) is what is shown when your ENT_1_START television ENT_1_END ENT_2_START screen ENT_2_END is full .,television,screen,4955
Other,Every household needs a ENT_1_START nest ENT_1_END of ENT_2_START tables ENT_2_END - functional and economic with space .,Every household needs a ENT_1_START nest ENT_1_END of ENT_2_START tables ENT_2_END - functional and economic with space .,nest,tables,2815
"Member-Collection(e2,e1)","In particular , a ENT_1_START ratpack ENT_1_END of ENT_2_START colonels ENT_2_END in arrested development are the worst possible people to handle relations with Latin countries .","In particular , a ENT_1_START ratpack ENT_1_END of ENT_2_START colonels ENT_2_END in arrested development are the worst possible people to handle relations with Latin countries .",ratpack,colonels,6444
"Entity-Destination(e1,e2)",A new trial ENT_1_START injection ENT_1_END was inserted into a leg or an arm ENT_2_START vein ENT_2_END .,A new trial ENT_1_START injection ENT_1_END was inserted into a leg or an arm ENT_2_START vein ENT_2_END .,injection,vein,4161
"Entity-Destination(e1,e2)",Females were caught and their ENT_1_START eggs ENT_1_END were removed into ENT_2_START buckets ENT_2_END .,Females were caught and their ENT_1_START eggs ENT_1_END were removed into ENT_2_START buckets ENT_2_END .,eggs,buckets,2769
"Content-Container(e1,e2)",One of the soft baby toys were four ENT_1_START bug buddies ENT_1_END in a ENT_2_START jug ENT_2_END with a mesh - top lid .,One of the soft baby toys were four ENT_1_START bug buddies ENT_1_END in a ENT_2_START jug ENT_2_END with a mesh - top lid .,bug buddies,jug,6152
"Member-Collection(e2,e1)","Outcomes are integrated for the entire developmental disabilities ENT_1_START population ENT_1_END , including ENT_2_START individuals ENT_2_END who have multiple diagnoses .","Outcomes are integrated for the entire developmental disabilities ENT_1_START population ENT_1_END , including ENT_2_START individuals ENT_2_END who have multiple diagnoses .",population,individuals,3018
"Cause-Effect(e2,e1)","The ENT_1_START benefits ENT_1_END from ENT_2_START inflation ENT_2_END which Professor Mulligan cites ( e.g. , bailing out underwater mortgagers ) are better understood as a government sponsored transfer of wealth from savers to speculators .","The ENT_1_START benefits ENT_1_END from ENT_2_START inflation ENT_2_END which Professor Mulligan cites ( e.g. , bailing out underwater mortgagers ) are better understood as a government sponsored transfer of wealth from savers to speculators .",benefits,inflation,1372
"Member-Collection(e2,e1)","It is a shady retreat , close to a ENT_1_START chain ENT_1_END of shallow ENT_2_START ponds ENT_2_END near the lake shore .","It is a shady retreat , close to a ENT_1_START chain ENT_1_END of shallow ENT_2_START ponds ENT_2_END near the lake shore .",chain,ponds,2433
"Component-Whole(e2,e1)",The ENT_1_START controller ENT_1_END regulates the superheat using a double loop ENT_2_START system ENT_2_END .,The ENT_1_START controller ENT_1_END regulates the superheat using a double loop ENT_2_START system ENT_2_END .,controller,system,4767
"Cause-Effect(e2,e1)",The Hawke 's Bay Herald building was completely destroyed by the ENT_1_START fire ENT_1_END after the ENT_2_START earthquake ENT_2_END .,The Hawke 's Bay Herald building was completely destroyed by the ENT_1_START fire ENT_1_END after the ENT_2_START earthquake ENT_2_END .,fire,earthquake,3103
Other,"In the run - up to this match , a new ENT_1_START war ENT_1_END of words has erupted on the ENT_2_START internet ENT_2_END in yet another twist to the long - simmering saga .","In the run - up to this match , a new ENT_1_START war ENT_1_END of words has erupted on the ENT_2_START internet ENT_2_END in yet another twist to the long - simmering saga .",war,internet,3762
"Entity-Destination(e1,e2)","In the evening , he threw ENT_1_START wood ENT_1_END into the ENT_2_START bonfire ENT_2_END .","In the evening , he threw ENT_1_START wood ENT_1_END into the ENT_2_START bonfire ENT_2_END .",wood,bonfire,880
"Cause-Effect(e2,e1)","The ENT_1_START taste ENT_1_END is from the ENT_2_START ginseng ENT_2_END , not alcohol .","The ENT_1_START taste ENT_1_END is from the ENT_2_START ginseng ENT_2_END , not alcohol .",taste,ginseng,7654
"Cause-Effect(e1,e2)","The ENT_1_START steam ENT_1_END caused a ENT_2_START backpressure ENT_2_END on the VTD , resulting in the rupture disc opening .","The ENT_1_START steam ENT_1_END caused a ENT_2_START backpressure ENT_2_END on the VTD , resulting in the rupture disc opening .",steam,backpressure,5176
"Cause-Effect(e2,e1)",The ENT_1_START colouration ENT_1_END has been caused by a blue ENT_2_START dye ENT_2_END .,The ENT_1_START colouration ENT_1_END has been caused by a blue ENT_2_START dye ENT_2_END .,colouration,dye,4878
"Entity-Origin(e2,e1)","This American - style ENT_1_START wheat ENT_1_END ENT_2_START ale ENT_2_END is a light , unfiltered brew with a citrus aroma andflavor imparted by a late addition of lemon grass .","This American - style ENT_1_START wheat ENT_1_END ENT_2_START ale ENT_2_END is a light , unfiltered brew with a citrus aroma andflavor imparted by a late addition of lemon grass .",wheat,ale,174
"Component-Whole(e2,e1)","Drawings , backgrounds and decorations are placed over the complete height of the ENT_1_START train ENT_1_END ENT_2_START wagon ENT_2_END , but do n't cover the entire width of the train wagon .","Drawings , backgrounds and decorations are placed over the complete height of the ENT_1_START train ENT_1_END ENT_2_START wagon ENT_2_END , but do n't cover the entire width of the train wagon .",train,wagon,6699
"Entity-Origin(e1,e2)",There is this really funny scene where the tie ENT_1_START salesman ENT_1_END runs away from the crime ENT_2_START scene ENT_2_END .,There is this really funny scene where the tie ENT_1_START salesman ENT_1_END runs away from the crime ENT_2_START scene ENT_2_END .,salesman,scene,3524
"Instrument-Agency(e2,e1)","The index finger was placed inside a normal ENT_1_START outfielder ENT_1_END 's ENT_2_START glove ENT_2_END , but it seemed placed at an angle where it has a difficult time assisting in the closing of the glove around the ball .","The index finger was placed inside a normal ENT_1_START outfielder ENT_1_END 's ENT_2_START glove ENT_2_END , but it seemed placed at an angle where it has a difficult time assisting in the closing of the glove around the ball .",outfielder,glove,2290
Other,Regulations limit the use of RFID ENT_1_START technology ENT_1_END for human ENT_2_START tracking ENT_2_END .,Regulations limit the use of RFID ENT_1_START technology ENT_1_END for human ENT_2_START tracking ENT_2_END .,technology,tracking,1275
"Entity-Destination(e1,e2)",Zook took the ENT_1_START ax ENT_1_END to the coaching ENT_2_START staff ENT_2_END .,Zook took the ENT_1_START ax ENT_1_END to the coaching ENT_2_START staff ENT_2_END .,ax,staff,4679
"Product-Producer(e2,e1)","With medical ghostwriting , pharmaceutical companies pay both professional ENT_1_START writers ENT_1_END to produce ENT_2_START papers ENT_2_END and then pay other scientists or physicans to attach their names to these papers before they are published in a medical or scientific journals .","With medical ghostwriting , pharmaceutical companies pay both professional ENT_1_START writers ENT_1_END to produce ENT_2_START papers ENT_2_END and then pay other scientists or physicans to attach their names to these papers before they are published in a medical or scientific journals .",writers,papers,4173
"Component-Whole(e2,e1)",This ENT_1_START door ENT_1_END ENT_2_START handle ENT_2_END is in gold color and is installed on the front door .,This ENT_1_START door ENT_1_END ENT_2_START handle ENT_2_END is in gold color and is installed on the front door .,door,handle,4667
"Message-Topic(e1,e2)",It is the ENT_1_START story ENT_1_END of a ENT_2_START teenager ENT_2_END who finds himself floating on a raft down the Mississippi River with an escaping slave .,It is the ENT_1_START story ENT_1_END of a ENT_2_START teenager ENT_2_END who finds himself floating on a raft down the Mississippi River with an escaping slave .,story,teenager,2392
"Member-Collection(e2,e1)",You needed a glamour cat to purr in this ENT_1_START kennel ENT_1_END of hungry ENT_2_START hounds ENT_2_END .,You needed a glamour cat to purr in this ENT_1_START kennel ENT_1_END of hungry ENT_2_START hounds ENT_2_END .,kennel,hounds,4155
"Product-Producer(e2,e1)","Gee 's Bend ENT_1_START men ENT_1_END and women grew cotton , peanuts , okra , corn , peas and ENT_2_START potatoes ENT_2_END .","Gee 's Bend ENT_1_START men ENT_1_END and women grew cotton , peanuts , okra , corn , peas and ENT_2_START potatoes ENT_2_END .",men,potatoes,6603
"Cause-Effect(e2,e1)",Most ENT_1_START deaths ENT_1_END from the accident were caused by radiation ENT_2_START poisoning ENT_2_END .,Most ENT_1_START deaths ENT_1_END from the accident were caused by radiation ENT_2_START poisoning ENT_2_END .,deaths,poisoning,4655
"Message-Topic(e1,e2)",The tunnel complex now hosts a series of ENT_1_START galleries ENT_1_END detailing the ENT_2_START occupation history ENT_2_END .,The tunnel complex now hosts a series of ENT_1_START galleries ENT_1_END detailing the ENT_2_START occupation history ENT_2_END .,galleries,occupation history,4054
